,Nation,Playername,Wickets,Average,Economy,Strikerate,score
0,England,AU Rashid,80,25.67,5.44,28.3,33.74
1,England,LE Plunkett,59,25.94,5.77,26.9,32.67
2,England,CR Woakes,48,24.35,5.20,28.0,33.2
3,England,MM Ali,35,49.45,5.16,57.4,62.56
4,England,MA Wood,29,43.10,5.40,47.8,53.199999999999996
5,England,BA Stokes,22,45.00,5.99,45.0,50.99
6,England,JT Ball,21,46.66,6.20,45.0,51.2
7,England,DJ Willey,19,45.15,5.68,47.6,53.28
8,England,TK Curran,12,31.41,6.11,30.8,36.910000000000004
9,England,JE Root,8,58.75,5.89,59.7,65.59
10,England,ST Finn,4,39.25,4.61,51.0,55.61
11,England,SM Curran,2,22.00,7.33,18.0,25.33
12,England,LA Dawson,2,35.00,8.75,24.0,32.75
13,England,CJ Jordan,2,47.00,5.75,49.0,54.75
14,England,TS Roland-Jones,1,34.00,4.85,42.0,46.85
15,England,C Overton,0,0,7.85,0,7.85
16,England,JM Bairstow,0,0,0,0,0.0
17,England,SW Billings,0,0,0,0,0.0
18,England,JC Buttler,0,0,0,0,0.0
19,England,BM Duckett,0,0,0,0,0.0
20,England,AD Hales,0,0,0,0,0.0
21,England,EJG Morgan,0,0,0,0,0.0
22,England,JJ Roy,0,0,0,0,0.0
23,England,JM Vince,0,0,0,0,0.0
24,Australia,MA Starc,43,23.58,5.16,27.4,32.56
25,Australia,PJ Cummins,31,31.90,5.15,37.1,42.25
26,Australia,JR Hazlewood,31,25.61,4.90,31.3,36.2
27,Australia,A Zampa,29,39.06,5.83,40.1,45.93
28,Australia,JP Faulkner,26,25.84,5.31,29.1,34.410000000000004
29,Australia,JW Hastings,18,23.94,5.75,24.9,30.65
30,Australia,KW Richardson,13,24.15,5.72,25.3,31.02
31,Australia,TM Head,12,59.00,5.82,60.7,66.52000000000001
32,Australia,AJ Tye,12,32.66,6.07,32.2,38.27
33,Australia,MR Marsh,11,47.00,5.78,48.7,54.480000000000004
34,Australia,NM Coulter-Nile,10,25.10,5.12,29.4,34.519999999999996
35,Australia,MP Stoinis,10,64.30,6.20,62.2,68.4
36,Australia,SM Boland,9,30.77,5.39,34.2,39.59
37,Australia,JA Richardson,7,38.71,7.32,31.7,39.019999999999996
38,Australia,B Stanlake,7,39.28,5.61,42.0,47.61
39,Australia,CP Tremain,7,36.42,6.37,34.2,40.57
40,Australia,AC Agar,6,59.50,5.85,61.0,66.85
41,Australia,JM Mennie,3,43.66,6.55,40.0,46.55
42,Australia,MC Henriques,2,74.50,5.96,75.0,80.96
43,Australia,NM Lyon,2,59.50,4.57,78.0,82.57
44,Australia,MG Neser,2,60.00,7.20,50.0,57.2
45,Australia,DJ Worrall,1,171.00,6.49,158.0,164.49
46,Australia,AJ Finch,0,0,5.34,0,5.34
47,Australia,GJ Maxwell,0,0,7.09,0,7.09
48,Australia,DJM Short,0,0,8.42,0,8.42
49,Australia,GJ Bailey,0,0,0,0,0.0
50,Australia,AT Carey,0,0,0,0,0.0
51,Australia,HWR Cartwright,0,0,0,0,0.0
52,Australia,PSP Handscomb,0,0,0,0,0.0
53,Australia,SD Heazlett,0,0,0,0,0.0
54,Australia,UT Khawaja,0,0,0,0,0.0
55,Australia,CA Lynn,0,0,0,0,0.0
56,Australia,SE Marsh,0,0,0,0,0.0
57,Australia,TD Paine,0,0,0,0,0.0
58,Australia,SPD Smith,0,0,0,0,0.0
59,Australia,MS Wade,0,0,0,0,0.0
60,Australia,DA Warner,0,0,0,0,0.0
61,Australia,CL White,0,0,0,0,0.0
62,SouthAfrica,K Rabada,46,32.13,5.24,36.7,41.940000000000005
63,SouthAfrica,AL Phehlukwayo,37,33.81,5.85,34.6,40.45
64,SouthAfrica,Imran Tahir,36,28.97,4.76,36.5,41.26
65,SouthAfrica,WD Parnell,24,25.75,5.87,26.2,32.07
66,SouthAfrica,L Ngidi,21,20.19,5.76,21.0,26.759999999999998
67,SouthAfrica,CH Morris,19,41.68,5.36,46.5,51.86
68,SouthAfrica,D Pretorius,17,27.11,4.88,33.2,38.080000000000005
