,Nation,Playername,Truns,Average,StrikeRate,score
0,England,JE Root,2057,64.28,89.39,470.03499999999997
1,England,JM Bairstow,1648,56.82,107.92,625.37
2,England,JJ Roy,1548,38.70,103.89,519.095
3,England,EJG Morgan,1521,41.10,94.53,494.525
4,England,AD Hales,1203,40.10,101.60,680.5999999999999
5,England,JC Buttler,1170,46.80,114.48,661.98
6,England,BA Stokes,1161,58.05,94.69,510.62
7,England,MM Ali,719,27.65,113.22,472.775
8,England,CR Woakes,436,39.63,107.65,450.68000000000006
9,England,AU Rashid,197,16.41,91.62,424.67
10,England,SW Billings,181,22.62,78.69,324.81499999999994
11,England,DJ Willey,180,22.50,84.50,396.5
12,England,LE Plunkett,132,16.50,104.76,405.66
13,England,BM Duckett,123,41.00,80.92,354.72
14,England,JM Vince,80,20.00,85.10,408.34999999999997
15,England,TK Curran,70,70.00,129.62,505.67
16,England,JT Ball,38,9.50,77.55,316.925
17,England,TS Roland-Jones,37,0,100.00,350.0
18,England,MA Wood,18,4.50,85.71,351.98499999999996
19,England,SM Curran,15,15.00,71.42,249.97
20,England,CJ Jordan,15,0,83.33,291.655
21,England,LA Dawson,10,10.00,76.92,269.22
22,England,ST Finn,5,5.00,71.42,654.27
23,England,C Overton,0,0,0,440.375
24,Australia,DA Warner,1641,52.93,104.78,638.95
25,Australia,TM Head,1257,38.09,91.41,509.08500000000004
26,Australia,AJ Finch,1116,39.85,97.29,455.30500000000006
27,Australia,SPD Smith,1085,43.40,83.39,608.155
28,Australia,MP Stoinis,638,49.07,101.26,664.2
29,Australia,MS Wade,516,28.66,91.81,472.46000000000004
30,Australia,GJ Bailey,424,38.54,73.86,397.155
31,Australia,GJ Maxwell,418,29.85,105.55,564.425
32,Australia,MR Marsh,404,28.85,91.19,406.91499999999996
33,Australia,SE Marsh,327,40.87,98.79,412.06500000000005
34,Australia,JP Faulkner,154,19.25,75.12,399.42
35,Australia,TD Paine,153,21.85,81.81,355.62500000000006
36,Australia,PSP Handscomb,149,21.28,100.00,406.29
37,Australia,UT Khawaja,144,28.80,82.28,342.125
38,Australia,AC Agar,139,23.16,92.05,361.175
39,Australia,PJ Cummins,110,12.22,79.71,369.98499999999996
40,Australia,JW Hastings,91,30.33,100.00,408.5
41,Australia,DJM Short,83,41.50,85.56,322.21000000000004
42,Australia,MA Starc,82,8.20,107.89,423.115
43,Australia,AT Carey,77,25.66,111.59,429.565
44,Australia,A Zampa,60,8.57,63.15,221.025
45,Australia,AJ Tye,57,14.25,118.75,435.125
46,Australia,MC Henriques,45,11.25,80.35,281.22499999999997
47,Australia,CL White,35,17.50,66.03,231.10500000000002
48,Australia,CP Tremain,23,23.00,62.16,224.06
49,Australia,JA Richardson,21,10.50,61.76,216.16
50,Australia,CA Lynn,16,16.00,133.33,466.65500000000003
51,Australia,KW Richardson,15,5.00,44.11,154.385
52,Australia,NM Coulter-Nile,10,3.33,38.46,134.61
53,Australia,NM Lyon,8,8.00,42.10,147.35
54,Australia,MG Neser,8,4.00,50.00,175.0
55,Australia,SM Boland,7,3.50,70.00,245.0
56,Australia,DJ Worrall,6,0,150.00,854.29
57,Australia,JR Hazlewood,5,2.50,31.25,415.91499999999996
58,Australia,SD Heazlett,4,4.00,36.36,292.36
59,Australia,B Stanlake,4,2.00,15.38,194.36
60,Australia,HWR Cartwright,2,1.00,8.69,215.665
61,Australia,JM Mennie,1,0.50,25.00,331.25
62,SouthAfrica,Q de Kock,1605,51.77,100.81,455.21000000000004
63,SouthAfrica,F du Plessis,1402,56.08,93.52,506.07
64,SouthAfrica,HM Amla,1251,40.35,90.65,453.77500000000003
65,SouthAfrica,JP Duminy,890,35.60,90.26,487.055
66,SouthAfrica,AB de Villiers,835,52.18,115.97,724.395
67,SouthAfrica,DA Miller,769,42.72,104.20,429.7
68,SouthAfrica,RR Rossouw,311,77.75,100.32,477.87
69,SouthAfrica,AL Phehlukwayo,268,29.77,95.71,568.9849999999999
70,SouthAfrica,AK Markram,243,22.09,86.17,355.22
71,SouthAfrica,CH Morris,241,20.08,98.77,430.195
72,SouthAfrica,F Behardien,206,34.33,128.75,450.625
73,SouthAfrica,H Klaasen,174,29.00,93.54,411.89000000000004
74,SouthAfrica,T Bavuma,161,80.50,94.70,396.45
75,SouthAfrica,K Rabada,111,18.50,94.87,371.045
76,SouthAfrica,RR Hendricks,109,27.25,110.10,385.34999999999997
77,SouthAfrica,WD Parnell,102,20.40,114.60,433.59999999999997
78,SouthAfrica,K Zondo,96,32.00,61.14,220.49
79,SouthAfrica,D Pretorius,86,17.20,107.50,376.25
80,SouthAfrica,PWA Mulder,57,14.25,73.07,255.74499999999998
81,SouthAfrica,KA Maharaj,25,12.50,96.15,336.52500000000003
82,SouthAfrica,M Morkel,22,5.50,81.48,285.18
83,SouthAfrica,Imran Tahir,11,2.75,39.28,137.48000000000002
84,SouthAfrica,L Ngidi,11,11.00,110.00,614.19
85,SouthAfrica,CJ Dala,8,8.00,133.33,649.37
86,SouthAfrica,C Jonker,6,6.00,42.85,265.935
87,SouthAfrica,DW Steyn,6,0,120.00,513.6
88,SouthAfrica,D Elgar,2,2.00,20.00,192.2
89,SouthAfrica,KJ Abbott,0,0.00,0.00,251.875
90,SouthAfrica,T Shamsi,0,0.00,0.00,96.2
91,SouthAfrica,D Paterson,0,0,0,187.20000000000002
92,SouthAfrica,AM Phangiso,0,0,0,216.125
93,Westindies,SD Hope,1115,37.16,66.32,316.62
94,Westindies,E Lewis,1010,32.58,82.31,405.08500000000004
95,Westindies,JO Holder,785,29.07,98.24,486.84
96,Westindies,R Powell,593,29.65,89.17,426.495
