,Nation,Playername,Wickets,Average,Economy,Strikerate,score
0,England,CJ Jordan,17,32.11,9.15,21.0,127.05
1,England,AU Rashid,14,24.00,7.46,19.2,109.82
2,England,LE Plunkett,11,30.09,8.59,21.0,123.13
3,England,DJ Willey,10,38.20,8.58,26.7,140.16
4,England,TK Curran,7,27.85,9.28,18.0,118.96
5,England,MA Wood,5,22.60,9.82,13.8,110.14000000000001
6,England,MM Ali,4,47.50,8.90,32.0,158.3
7,England,TS Mills,3,31.33,7.83,24.0,126.81
8,England,JT Ball,2,41.50,11.85,21.0,145.95
9,England,LA Dawson,2,62.50,7.81,48.0,198.67
10,England,BA Stokes,2,60.50,8.06,45.0,191.42000000000002
11,England,MS Crane,1,62.00,7.75,48.0,198.25
12,England,DJ Malan,1,27.00,13.50,12.0,130.5
13,England,JE Root,0,0,7.00,0,49.0
14,England,JM Bairstow,0,0,0,0,0.0
15,England,SW Billings,0,0,0,0,0.0
16,England,JC Buttler,0,0,0,0,0.0
17,England,AD Hales,0,0,0,0,0.0
18,England,LS Livingstone,0,0,0,0,0.0
19,England,EJG Morgan,0,0,0,0,0.0
20,England,JJ Roy,0,0,0,0,0.0
21,England,JM Vince,0,0,0,0,0.0
22,Australia,AJ Tye,26,17.92,8.34,12.8,96.78
23,Australia,B Stanlake,16,23.43,8.33,16.8,108.71000000000001
24,Australia,A Zampa,12,11.66,5.83,12.0,76.81
25,Australia,AC Agar,9,28.55,7.13,24.0,121.91
26,Australia,JP Faulkner,9,15.11,7.15,12.6,87.85
27,Australia,JA Richardson,9,23.44,8.11,17.3,108.67
28,Australia,KW Richardson,8,27.12,9.04,18.0,117.28
29,Australia,GJ Maxwell,7,17.42,9.38,11.1,98.96000000000001
30,Australia,MP Stoinis,7,36.71,7.71,28.5,139.47
31,Australia,JP Behrendorff,4,6.50,5.20,7.5,58.9
32,Australia,MA Starc,4,14.50,7.25,12.0,86.75
33,Australia,SM Boland,3,8.66,6.50,8.0,69.5
34,Australia,AJ Turner,3,14.00,7.00,12.0,85.0
35,Australia,NM Coulter-Nile,2,21.50,7.16,18.0,104.12
36,Australia,PJ Cummins,2,38.50,7.70,30.0,143.9
37,Australia,JW Hastings,2,11.50,5.75,12.0,76.25
38,Australia,MJ Swepson,2,18.50,9.25,12.0,100.75
39,Australia,TM Head,1,30.00,10.00,18.0,124.0
40,Australia,MC Henriques,1,93.00,9.30,60.0,245.10000000000002
41,Australia,JD Wildermuth,1,32.00,10.66,18.0,128.62
42,Australia,DT Christian,0,0,14.00,0,98.0
43,Australia,DJM Short,0,0,13.00,0,91.0
44,Australia,GJ Bailey,0,0,0,0,0.0
45,Australia,AT Carey,0,0,0,0,0.0
46,Australia,BR Dunk,0,0,0,0,0.0
47,Australia,AJ Finch,0,0,0,0,0.0
48,Australia,UT Khawaja,0,0,0,0,0.0
49,Australia,M Klinger,0,0,0,0,0.0
50,Australia,CA Lynn,0,0,0,0,0.0
51,Australia,NJ Maddinson,0,0,0,0,0.0
52,Australia,PM Nevill,0,0,0,0,0.0
53,Australia,TD Paine,0,0,0,0,0.0
54,Australia,MS Wade,0,0,0,0,0.0
55,Australia,DA Warner,0,0,0,0,0.0
56,SouthAfrica,Imran Tahir,12,12.83,7.39,10.4,82.93
57,SouthAfrica,AL Phehlukwayo,12,24.00,8.34,17.2,109.97999999999999
58,SouthAfrica,CJ Dala,9,14.66,8.25,10.6,89.55
59,SouthAfrica,CH Morris,7,25.14,7.65,19.7,112.65
60,SouthAfrica,D Paterson,7,34.71,9.40,22.1,132.10000000000002
61,SouthAfrica,L Ngidi,6,11.50,6.27,11.0,76.89
62,SouthAfrica,JP Duminy,4,18.75,6.81,16.5,97.16999999999999
63,SouthAfrica,AM Phangiso,4,30.50,8.13,22.5,124.41
64,SouthAfrica,T Shamsi,4,41.25,8.25,30.0,147.75
65,SouthAfrica,R Frylinck,3,14.00,7.00,12.0,85.0
66,SouthAfrica,BE Hendricks,3,23.33,10.76,13.0,114.32
67,SouthAfrica,WD Parnell,3,49.00,10.50,28.0,157.5
68,SouthAfrica,K Rabada,2,12.00,6.00,12.0,78.0
69,SouthAfrica,M Morkel,1,75.00,9.37,48.0,209.58999999999997
70,SouthAfrica,D Pretorius,1,47.00,9.40,30.0,155.8
71,SouthAfrica,JT Smuts,1,101.00,7.97,76.0,283.79
72,SouthAfrica,HM Amla,0,0,0,0,0.0
73,SouthAfrica,F Behardien,0,0,0,0,0.0
74,SouthAfrica,TB de Bruyn,0,0,0,0,0.0
75,SouthAfrica,Q de Kock,0,0,0,0,0.0
76,SouthAfrica,AB de Villiers,0,0,0,0,0.0
77,SouthAfrica,F du Plessis,0,0,0,0,0.0
78,SouthAfrica,RR Hendricks,0,0,0,0,0.0
79,SouthAfrica,C Jonker,0,0,0,0,0.0
80,SouthAfrica,H Klaasen,0,0,0,0,0.0
81,SouthAfrica,HG Kuhn,0,0,0,0,0.0
82,SouthAfrica,DA Miller,0,0,0,0,0.0
83,SouthAfrica,M Mosehle,0,0,0,0,0.0
84,Westindies,KOK Williams,30,17.53,8.32,12.6,96.03999999999999
85,Westindies,CR Brathwaite,20,24.85,8.42,17.7,112.03999999999999
86,Westindies,S Badree,14,38.07,7.10,32.1,146.0
87,Westindies,SP Narine,10,32.40,6.89,28.2,132.82999999999998
88,Westindies,JE Taylor,9,33.77,9.50,21.3,130.4
89,Westindies,KMA Paul,8,26.25,8.45,18.6,114.94999999999999
90,Westindies,AR Nurse,7,26.28,8.00,19.7,115.1
91,Westindies,AD Russell,5,36.20,9.52,22.8,135.04000000000002
92,Westindies,RR Emrit,4,39.00,9.75,24.0,140.25
93,Westindies,DJ Bravo,3,40.66,8.71,28.0,144.97
94,Westindies,MN Samuels,3,20.33,8.13,15.0,101.91
95,Westindies,JO Holder,2,54.50,7.69,42.5,181.33
96,Westindies,R Powell,2,33.50,9.57,21.0,129.99
97,Westindies,OF Smith,2,39.00,11.14,21.0,140.98000000000002
98,Westindies,SS Cottrell,1,21.00,10.50,12.0,109.5
99,Westindies,KA Pollard,1,71.00,8.87,48.0,206.09
100,Westindies,AM McCarthy,0,0,6.00,0,42.0
101,Westindies,JN Mohammed,0,0,6.50,0,45.5
102,Westindies,V Permaul,0,0,16.00,0,112.0
103,Westindies,J Charles,0,0,0,0,0.0
104,Westindies,ADS Fletcher,0,0,0,0,0.0
105,Westindies,CH Gayle,0,0,0,0,0.0
106,Westindies,SO Hetmyer,0,0,0,0,0.0
107,Westindies,SD Hope,0,0,0,0,0.0
108,Westindies,E Lewis,0,0,0,0,0.0
109,Westindies,N Pooran,0,0,0,0,0.0
