,Nation,Playername,Truns,Average,StrikeRate,score
0,England,JJ Roy,387,24.18,150.58,1063.4
1,England,AD Hales,381,38.10,145.41,1078.5149999999999
2,England,JC Buttler,335,23.92,129.84,927.6800000000001
3,England,EJG Morgan,277,25.18,131.27,941.3850000000001
4,England,DJ Malan,250,50.00,150.60,1153.9
5,England,JM Bairstow,201,40.20,150.00,1115.7
6,England,JE Root,193,27.57,104.89,778.28
7,England,SW Billings,106,11.77,123.25,842.32
8,England,DJ Willey,91,11.37,135.82,922.6249999999999
9,England,BA Stokes,64,16.00,114.28,798.82
10,England,CJ Jordan,38,7.60,115.15,775.075
11,England,JM Vince,31,15.50,110.71,773.865
12,England,LE Plunkett,30,6.00,130.43,868.7950000000001
13,England,MM Ali,22,11.00,78.57,549.2049999999999
14,England,LA Dawson,17,17.00,212.50,1440.75
15,England,LS Livingstone,16,8.00,84.21,575.365
16,England,AU Rashid,14,7.00,93.33,631.145
17,England,MA Wood,10,0,83.33,541.645
18,England,TK Curran,8,8.00,133.33,894.6450000000001
19,England,TS Mills,0,0.00,0.00,0.0
20,England,JT Ball,0,0,0,0.0
21,England,MS Crane,0,0,0,0.0
22,Australia,AJ Finch,622,62.20,183.48,1410.32
23,Australia,GJ Maxwell,542,67.75,175.40,1377.2250000000001
24,Australia,DJM Short,377,41.88,131.81,1003.345
25,Australia,TM Head,291,29.10,131.67,957.7049999999999
26,Australia,DA Warner,159,17.66,143.24,992.8700000000001
27,Australia,MC Henriques,146,48.66,135.18,1048.98
28,Australia,M Klinger,143,47.66,127.67,996.665
29,Australia,CA Lynn,93,23.25,138.80,983.575
30,Australia,AT Carey,64,21.33,120.75,859.53
31,Australia,BR Dunk,60,30.00,171.42,1219.23
32,Australia,AC Agar,54,13.50,112.50,778.5
33,Australia,MP Stoinis,51,10.20,100.00,685.7
34,Australia,UT Khawaja,42,21.00,113.51,811.315
35,Australia,AJ Tye,32,10.66,128.00,869.31
36,Australia,AJ Turner,26,8.66,123.80,835.01
37,Australia,TD Paine,25,8.33,113.63,767.75
38,Australia,JP Faulkner,18,6.00,138.46,920.99
39,Australia,MS Wade,14,14.00,60.86,444.59
40,Australia,DT Christian,9,9.00,69.23,481.495
41,Australia,NJ Maddinson,7,3.50,53.84,362.21000000000004
42,Australia,B Stanlake,7,7.00,140.00,934.5
43,Australia,JA Richardson,6,6.00,200.00,1321.0
44,Australia,A Zampa,4,0,133.33,866.6450000000001
45,Australia,PJ Cummins,3,3.00,100.00,660.5
46,Australia,PM Nevill,3,0,300.00,1950.0
47,Australia,MJ Swepson,3,0,75.00,487.5
48,Australia,NM Coulter-Nile,1,1.00,50.00,328.5
49,Australia,JD Wildermuth,1,0,100.00,650.0
50,Australia,KW Richardson,0,0.00,0.00,0.0
51,Australia,GJ Bailey,0,0,0,0.0
52,Australia,JP Behrendorff,0,0,0,0.0
53,Australia,SM Boland,0,0,0,0.0
54,Australia,JW Hastings,0,0,0,0.0
55,Australia,MA Starc,0,0,0,0.0
56,SouthAfrica,AB de Villiers,304,50.66,152.00,1165.31
