,Nation,Playername,Wickets,Average,Economy,Strikerate,score
0,England,JM Anderson,106,20.82,2.38,52.4,52.4
1,England,SCJ Broad,81,31.09,2.81,66.3,66.3
2,England,MM Ali,72,37.66,3.47,65.0,65.0
3,England,BA Stokes,52,28.25,3.19,53.0,53.0
4,England,AU Rashid,40,34.47,3.68,56.1,56.1
5,England,CR Woakes,38,39.52,3.09,76.6,76.6
6,England,TS Roland-Jones,17,19.64,3.73,31.5,31.5
7,England,SM Curran,13,23.23,3.28,42.3,42.3
8,England,LA Dawson,7,42.57,3.39,75.1,75.1
9,England,C Overton,7,42.28,3.52,72.0,72.0
10,England,JE Root,6,43.50,2.99,87.1,87.1
11,England,ZS Ansari,5,55.00,4.04,81.6,81.6
12,England,ST Finn,5,54.40,3.31,98.6,98.6
13,England,MA Wood,5,78.40,3.09,151.8,151.8
14,England,GJ Batty,4,45.25,3.39,80.0,80.0
15,England,DM Bess,3,40.33,3.82,63.3,63.3
16,England,JT Ball,2,127.50,3.80,201.0,201.0
17,England,TK Curran,2,100.00,3.03,198.0,198.0
18,England,MJ Leach,2,56.50,2.21,153.0,153.0
19,England,MS Crane,1,193.00,4.02,288.0,288.0
20,England,KK Jennings,0,0,3.25,0,0.0
21,England,DJ Malan,0,0,2.69,0,0.0
22,England,JM Vince,0,0,2.00,0,0.0
23,England,T Westley,0,0,3.00,0,0.0
24,England,JM Bairstow,0,0,0,0,0.0
25,England,GS Ballance,0,0,0,0,0.0
26,England,JC Buttler,0,0,0,0,0.0
27,England,AN Cook,0,0,0,0,0.0
28,England,BM Duckett,0,0,0,0,0.0
29,England,AD Hales,0,0,0,0,0.0
30,England,H Hameed,0,0,0,0,0.0
31,England,OJ Pope,0,0,0,0,0.0
32,England,MD Stoneman,0,0,0,0,0.0
33,Australia,NM Lyon,106,31.40,2.94,63.9,63.9
34,Australia,MA Starc,85,26.00,3.38,46.0,46.0
35,Australia,JR Hazlewood,76,28.55,2.64,64.6,64.6
36,Australia,PJ Cummins,59,24.66,2.95,50.1,50.1
37,Australia,SNJ O'Keefe,25,26.92,2.57,62.7,62.7
38,Australia,JM Bird,13,39.30,3.27,72.0,72.0
39,Australia,AC Agar,7,23.14,2.62,52.8,52.8
40,Australia,MR Marsh,7,70.28,3.59,117.4,117.4
41,Australia,JM Holland,5,54.80,3.34,98.4,98.4
42,Australia,PM Siddle,3,32.66,2.57,76.0,76.0
43,Australia,CJ Sayers,2,73.00,2.97,147.0,147.0
44,Australia,GJ Maxwell,1,70.00,3.50,120.0,120.0
45,Australia,JM Mennie,1,85.00,3.03,168.0,168.0
46,Australia,SPD Smith,1,95.00,3.25,175.0,175.0
47,Australia,HWR Cartwright,0,0,3.44,0,0.0
48,Australia,MC Henriques,0,0,4.50,0,0.0
49,Australia,UT Khawaja,0,0,1.00,0,0.0
50,Australia,NJ Maddinson,0,0,4.50,0,0.0
51,Australia,MT Renshaw,0,0,3.25,0,0.0
52,Australia,AC Voges,0,0,2.87,0,0.0
53,Australia,DA Warner,0,0,5.00,0,0.0
54,Australia,CT Bancroft,0,0,0,0,0.0
55,Australia,JA Burns,0,0,0,0,0.0
56,Australia,CJ Ferguson,0,0,0,0,0.0
57,Australia,PSP Handscomb,0,0,0,0,0.0
58,Australia,SE Marsh,0,0,0,0,0.0
59,Australia,PM Nevill,0,0,0,0,0.0
60,Australia,TD Paine,0,0,0,0,0.0
61,Australia,MS Wade,0,0,0,0,0.0
62,SouthAfrica,K Rabada,127,21.14,3.23,39.2,39.2
63,SouthAfrica,KA Maharaj,90,27.65,3.14,52.8,52.8
64,SouthAfrica,VD Philander,79,20.67,2.50,49.4,49.4
65,SouthAfrica,M Morkel,67,21.67,3.04,42.6,42.6
66,SouthAfrica,KJ Abbott,18,19.38,2.49,46.5,46.5
67,SouthAfrica,D Olivier,17,23.11,3.89,35.6,35.6
68,SouthAfrica,L Ngidi,15,19.53,2.84,41.2,41.2
69,SouthAfrica,DW Steyn,15,25.53,3.05,50.0,50.0
70,SouthAfrica,AL Phehlukwayo,11,13.36,3.52,22.7,22.7
71,SouthAfrica,CH Morris,8,25.75,4.80,32.1,32.1
72,SouthAfrica,WD Parnell,8,19.50,4.70,24.8,24.8
73,SouthAfrica,T Shamsi,6,46.33,3.45,80.5,80.5
74,SouthAfrica,JP Duminy,5,44.20,3.53,75.0,75.0
75,SouthAfrica,DL Piedt,2,44.00,4.63,57.0,57.0
76,SouthAfrica,T Bavuma,1,61.00,3.81,96.0,96.0
77,SouthAfrica,D Elgar,1,87.00,5.80,90.0,90.0
78,SouthAfrica,SC Cook,0,0,8.00,0,0.0
79,SouthAfrica,TB de Bruyn,0,0,4.35,0,0.0
80,SouthAfrica,AK Markram,0,0,2.71,0,0.0
81,SouthAfrica,S van Zyl,0,0,1.66,0,0.0
82,SouthAfrica,HM Amla,0,0,0,0,0.0
83,SouthAfrica,Q de Kock,0,0,0,0,0.0
84,SouthAfrica,AB de Villiers,0,0,0,0,0.0
85,SouthAfrica,F du Plessis,0,0,0,0,0.0
86,SouthAfrica,HG Kuhn,0,0,0,0,0.0
87,Westindies,ST Gabriel,75,25.82,3.27,47.3,47.3
88,Westindies,JO Holder,60,24.60,2.53,58.3,58.3
89,Westindies,D Bishoo,48,33.02,3.15,62.7,62.7
90,Westindies,KAJ Roach,41,22.58,3.05,44.3,44.3
91,Westindies,RL Chase,37,42.00,3.39,74.2,74.2
92,Westindies,ML Cummins,27,37.59,3.28,68.7,68.7
93,Westindies,AS Joseph,15,38.86,3.10,75.1,75.1
94,Westindies,KC Brathwaite,3,151.33,3.18,285.3,285.3
95,Westindies,KMA Paul,3,19.66,3.68,32.0,32.0
96,Westindies,RA Reifer,2,44.00,2.93,90.0,90.0
