,Nation,Playername,Truns,Average,StrikeRate,score
0,England,JE Root,2404,44.51,55.71,44.51
1,England,AN Cook,2026,36.83,47.55,36.83
2,England,JM Bairstow,1845,34.81,55.28,34.81
3,England,MM Ali,1449,34.5,52.9,34.5
4,England,BA Stokes,1350,34.61,50.61,34.61
5,England,DJ Malan,724,27.84,41.08,27.84
6,England,JC Buttler,664,44.26,61.02,44.26
7,England,CR Woakes,662,28.78,52.04,28.78
8,England,MD Stoneman,526,27.68,44.27,27.68
9,England,KK Jennings,486,22.09,42.37,22.09
10,England,SCJ Broad,457,11.71,60.69,11.71
11,England,JM Vince,418,27.86,47.07,27.86
12,England,AU Rashid,311,18.29,42.6,18.29
13,England,SM Curran,292,36.5,61.6,36.5
14,England,GS Ballance,232,19.33,42.41,19.33
15,England,H Hameed,219,43.8,34.21,43.8
16,England,T Westley,193,24.12,42.6,24.12
17,England,DM Bess,111,37.0,51.62,37.0
18,England,BM Duckett,110,15.71,57.89,15.71
19,England,MA Wood,106,13.25,70.19,13.25
20,England,JM Anderson,105,6.56,35.47,6.56
21,England,C Overton,98,24.5,53.26,24.5
22,England,AD Hales,89,22.25,38.03,22.25
23,England,LA Dawson,84,21.0,42.63,21.0
24,England,TS Roland-Jones,82,20.5,69.49,20.5
25,England,TK Curran,66,33.0,55.0,33.0
26,England,JT Ball,60,10.0,52.17,10.0
27,England,OJ Pope,54,18.0,54.54,18.0
28,England,ZS Ansari,49,9.8,36.02,9.8
29,England,ST Finn,39,13.0,44.31,13.0
30,England,MJ Leach,30,30.0,40.54,30.0
31,England,MS Crane,6,3.0,54.54,3.0
32,England,GJ Batty,5,1.66,10.63,1.66
33,Australia,SPD Smith,2262,64.62,52.59,64.62
34,Australia,DA Warner,1856,46.4,69.43,46.4
35,Australia,UT Khawaja,1092,37.65,49.54,37.65
36,Australia,SE Marsh,974,37.46,40.0,37.46
37,Australia,PSP Handscomb,829,43.63,51.81,43.63
38,Australia,MR Marsh,677,32.23,52.27,32.23
39,Australia,MT Renshaw,636,33.47,42.48,33.47
40,Australia,MA Starc,460,17.69,72.1,17.69
41,Australia,TD Paine,407,45.22,51.0,45.22
42,Australia,CT Bancroft,402,30.92,45.68,30.92
43,Australia,PJ Cummins,350,20.58,41.96,20.58
44,Australia,NM Lyon,267,7.85,61.52,7.85
45,Australia,MS Wade,263,20.23,43.47,20.23
46,Australia,GJ Maxwell,259,37.0,56.79,37.0
47,Australia,JR Hazlewood,160,8.88,38.74,8.88
48,Australia,PM Nevill,132,18.85,40.0,18.85
49,Australia,AC Voges,89,11.12,35.17,11.12
50,Australia,AC Agar,65,32.5,44.82,32.5
51,Australia,HWR Cartwright,55,27.5,44.0,27.5
